date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_net_ret,zoo_extended_net_ret,zoo_strict_turnover,zoo_extended_turnover,zoo_strict_cost,zoo_extended_cost,zoo_strict_nav,zoo_extended_nav,benchmark_nav,zoo_strict_net_nav,zoo_extended_net_nav
20231214,-0.002050631776300645,1.3584814683143562e-05,-0.004657933042212403,-0.002050631776300645,1.3584814683143562e-05,0.0,0.0,0.0,0.0,1.000500387874121,1.3314104597141811,0.6699325269951989,1.000500387874121,1.3314104597141811
20231215,7.059257404167874e-05,-0.00193171324791087,-0.0020473822755191495,7.059257404167874e-05,-0.00193171324791087,0.0,0.0,0.0,0.0,1.0005710157718306,1.3288385564907441,0.6685609190136351,1.0005710157718306,1.3288385564907441
20231218,-0.0161875658474307,-0.0023628951664518227,-0.004103165298944722,-0.0161875658474307,-0.0023628951664518227,0.0,0.0,0.0,0.0,0.9843742065689934,1.3256986502886172,0.6658177030505078,0.9843742065689934,1.3256986502886172
20231219,0.0015581091547512574,-5.864906602192079e-05,0.0005885815185402432,0.0015581091547512574,-5.864906602192079e-05,0.0,0.0,0.0,0.0,0.9859079690319495,1.3256208993009513,0.6662095910452402,0.9859079690319495,1.3256208993009513
20231220,-0.012328247006903383,-0.008352545346812705,-0.009117647058823453,-0.012328247006903383,-0.008352545346812705,0.0,0.0,0.0,0.0,0.9737534520636493,1.3145485906268575,0.6601353271268866,0.9737534520636493,1.3145485906268575
20231221,0.01089497972002231,0.013913421464791458,0.00920154348471347,0.01089497972002231,0.013913421464791458,0.0,0.0,0.0,0.0,0.9843624761761846,1.3328384592041964,0.6662095910452402,0.9843624761761846,1.3328384592041964
20231222,-0.017656326755463702,-0.010633025620977324,0.0017647058823531125,-0.017656326755463702,-0.010633025620977324,0.0,0.0,0.0,0.0,0.9669822506510005,1.3186663537188543,0.6673852550294378,0.9669822506510005,1.3186663537188543
20231225,-0.0011685734696355535,0.007781373789322031,0.002642395772166628,-0.0011685734696355535,0.007781373789322031,0.0,0.0,0.0,0.0,0.9658522608472814,1.328927389520543,0.6691487510057339,0.9658522608472814,1.328927389520543
20231226,-0.01285253701204091,-0.003599363249568715,-0.005856515373352855,-0.01285253701204091,-0.003599363249568715,0.0,0.0,0.0,0.0,0.9534386089165783,1.3241440971133573,0.6652298710584089,0.9534386089165783,1.3241440971133573
20231227,0.013553108872111969,-0.004651038084797424,0.002945508100147265,0.013553108872111969,-0.004651038084797424,0.0,0.0,0.0,0.0,0.9663606661860996,1.3179854524879235,0.6671893110320714,0.9663606661860996,1.3179854524879235
